"","Provincias","Year","Mes","dia","fecha","Población","Unidades","Euros","precio","UdesxCapita"
"242","Albacete","2005","6","15",2005-06-15,314481,3160043,7099181.7,2.24654591725492,10.0484385384173
"243","Alicante/Alacant","2005","6","15",2005-06-15,1405806,25663534.65,59140069.65,2.30443976079499,18.2553884746544
"244","Almería","2005","6","15",2005-06-15,496735,6930444.5,15986487.3,2.30670446895578,13.9519955308162
"245","Asturias","2005","6","15",2005-06-15,957186,9037090.6,20514544.7,2.27003862282846,9.44131088419597
"246","Ávila","2005","6","15",2005-06-15,147568,1383548.5,3134858.4,2.26581026975202,9.37566748888648
"247","Badajoz","2005","6","15",2005-06-15,545164,6145518,13195596.9,2.14719034262043,11.2727876382153
"248","Balears (Illes)","2005","6","15",2005-06-15,793948,23651756.05,56236331.35,2.37768101578234,29.7900568425136
"249","Barcelona","2005","6","15",2005-06-15,4397957,44886928.65,104665730.6,2.33176414042755,10.2063136701882
"250","Burgos","2005","6","15",2005-06-15,314870,2969203.7,6780918.85,2.28374996636304,9.42993521135707
"251","Cáceres","2005","6","15",2005-06-15,342615,3735012.75,8209279.85,2.19792552247646,10.9014863622433
"252","Cádiz","2005","6","15",2005-06-15,934233,9573586,21066020.5,2.20043153108981,10.2475356790008
"253","Cantabria","2005","6","15",2005-06-15,487159,5415856.85,12477117,2.3038121844007,11.1172263059904
"254","Castellón/Castelló","2005","6","15",2005-06-15,454921,5348636.95,11981913.1,2.24018066883377,11.7572874191343
"255","Ciudad Real","2005","6","15",2005-06-15,411670,4310745,9534805.8,2.21186959562674,10.471360555785
"256","Córdoba","2005","6","15",2005-06-15,634683,6484281.75,14230683.5,2.19464299187801,10.2165675620743
"257","Coruña (A)","2005","6","15",2005-06-15,981848,8668202.4,19390271.4,2.23694262145978,8.82845654317165
"258","Cuenca","2005","6","15",2005-06-15,178173,1936022,4309997.4,2.22621302857096,10.8659673463432
"259","Girona","2005","6","15",2005-06-15,553514,21296906.2,45687156.2,2.14524850562567,38.4758221110938
